epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
1,40.7598,0.97177,0.86313,1,0.42556,0.000237207,0.000237207,0.000237207
2,81.7648,0.50452,0.82187,1,0.49798,0.000456388,0.000456388,0.000456388
3,120.996,0.42127,0.83875,1,0.45339,0.000656721,0.000656721,0.000656721
4,159.623,0.3775,0.85375,1,0.39252,0.000629177,0.000629177,0.000629177
5,198.489,0.31423,0.86437,1,0.37075,0.000600902,0.000600902,0.000600902
6,237.638,0.26005,0.89125,1,0.30023,0.000572628,0.000572628,0.000572628
7,276.386,0.22623,0.85938,1,0.4001,0.000544354,0.000544354,0.000544354
8,321.945,0.21499,0.77875,1,0.67271,0.000516079,0.000516079,0.000516079
9,367.255,0.18775,0.87313,1,0.37166,0.000487805,0.000487805,0.000487805
10,412.519,0.17259,0.89062,1,0.32124,0.00045953,0.00045953,0.00045953
11,458.127,0.15094,0.75,1,0.96955,0.000431256,0.000431256,0.000431256
12,504.247,0.13748,0.845,1,0.43379,0.000402982,0.000402982,0.000402982
13,550.283,0.13623,0.8325,1,0.52397,0.000374707,0.000374707,0.000374707
14,595.836,0.10806,0.81437,1,0.56812,0.000346433,0.000346433,0.000346433
15,641.309,0.10245,0.795,1,0.71364,0.000318158,0.000318158,0.000318158
16,687,0.10367,0.84438,1,0.54208,0.000289884,0.000289884,0.000289884
17,732.912,0.08997,0.855,1,0.49196,0.00026161,0.00026161,0.00026161
18,778.75,0.07618,0.81563,1,0.62142,0.000233335,0.000233335,0.000233335
19,820.352,0.07942,0.86063,1,0.45166,0.000205061,0.000205061,0.000205061
20,859.257,0.0646,0.835,1,0.53734,0.000176786,0.000176786,0.000176786
21,897.536,0.0586,0.82875,1,0.59559,0.000148512,0.000148512,0.000148512
22,936.397,0.06443,0.81937,1,0.5739,0.000120238,0.000120238,0.000120238
23,975.395,0.06043,0.81563,1,0.63301,9.19632e-05,9.19632e-05,9.19632e-05
24,1014.65,0.05162,0.8125,1,0.64724,6.36888e-05,6.36888e-05,6.36888e-05
25,1053.38,0.04651,0.82625,1,0.60387,3.54144e-05,3.54144e-05,3.54144e-05
