epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,125.905,0.65907,1.52237,1.10457,0.51508,0.71063,0.60106,0.4917,0.57412,1.64955,1.11073,0.000415278,0.000415278,0.000415278
2,244.467,0.62104,1.07394,1.06317,0.69775,0.71766,0.79781,0.71701,0.4209,1.05607,0.93909,0.000790763,0.000790763,0.000790763
3,362.276,0.61719,1.02239,1.0572,0.608,0.80375,0.74693,0.68356,0.40285,0.9466,0.93659,0.001125,0.001125,0.001125
4,478.367,0.60034,0.95369,1.04668,0.60972,0.71842,0.79753,0.7584,0.32508,1.16754,0.87573,0.00106437,0.00106437,0.00106437
5,597.129,0.56919,0.89063,1.03026,0.64034,0.71233,0.77575,0.72765,0.34933,0.90652,0.89581,0.0010025,0.0010025,0.0010025
6,713.212,0.55321,0.8208,1.02095,0.80271,0.7261,0.86548,0.8297,0.3106,0.78488,0.87142,0.000940625,0.000940625,0.000940625
7,832.637,0.5455,0.79001,1.01645,0.61224,0.6909,0.74992,0.72133,0.30113,1.13824,0.86343,0.00087875,0.00087875,0.00087875
8,947.959,0.52627,0.7486,1.00324,0.69361,0.82239,0.80818,0.78044,0.2894,0.83176,0.85548,0.000816875,0.000816875,0.000816875
9,1065.32,0.52035,0.7188,1.00455,0.77626,0.77192,0.88835,0.855,0.29135,0.66923,0.85156,0.000755,0.000755,0.000755
10,1181.64,0.49949,0.67658,0.9972,0.85693,0.8261,0.93525,0.90637,0.27661,0.54834,0.84583,0.000693125,0.000693125,0.000693125
11,1299.82,0.31091,0.45703,0.88659,0.83702,0.85001,0.92417,0.89351,0.28291,0.56743,0.84356,0.00063125,0.00063125,0.00063125
12,1415.83,0.29991,0.44707,0.88256,0.78529,0.79043,0.90395,0.8779,0.26645,0.70373,0.83981,0.000569375,0.000569375,0.000569375
13,1528.64,0.28864,0.39783,0.87281,0.82504,0.84042,0.93364,0.90758,0.27222,0.57504,0.84244,0.0005075,0.0005075,0.0005075
14,1643.28,0.27887,0.35435,0.86047,0.85796,0.8664,0.95721,0.93172,0.26197,0.47775,0.83387,0.000445625,0.000445625,0.000445625
15,1757.52,0.27977,0.34603,0.86676,0.81281,0.8617,0.94061,0.91721,0.2629,0.54903,0.83461,0.00038375,0.00038375,0.00038375
16,1871.96,0.26476,0.31623,0.85937,0.82074,0.82759,0.94364,0.91819,0.26704,0.60552,0.83963,0.000321875,0.000321875,0.000321875
17,1985.19,0.26244,0.29178,0.85749,0.86496,0.89196,0.96014,0.93922,0.25234,0.42877,0.83015,0.00026,0.00026,0.00026
18,2098.47,0.25599,0.25919,0.85003,0.85799,0.89747,0.96477,0.93924,0.26311,0.42224,0.83171,0.000198125,0.000198125,0.000198125
19,2212,0.25004,0.24195,0.8519,0.90984,0.92376,0.97274,0.94762,0.26008,0.32145,0.83031,0.00013625,0.00013625,0.00013625
20,2325.86,0.24345,0.21138,0.84534,0.94137,0.93453,0.97863,0.95595,0.25928,0.28106,0.82919,7.4375e-05,7.4375e-05,7.4375e-05
