epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,67.5641,0.63245,1.36077,1.05159,0.60885,0.76775,0.74426,0.66374,0.47792,1.26522,0.89453,0.000415278,0.000415278,0.000415278
2,128.263,0.60975,1.05055,1.02033,0.68476,0.76419,0.81048,0.70838,0.54157,0.98197,0.95923,0.000798999,0.000798999,0.000798999
3,187.287,0.60147,1.01059,1.01143,0.67301,0.50625,0.64123,0.57149,0.41523,1.36238,0.88939,0.00114972,0.00114972,0.00114972
4,246.324,0.57951,0.95991,1.00251,0.65833,0.70839,0.79347,0.75453,0.32953,0.95291,0.84457,0.0011015,0.0011015,0.0011015
5,309.318,0.56108,0.89062,0.99225,0.76322,0.73249,0.86732,0.83352,0.31571,0.8102,0.82974,0.001052,0.001052,0.001052
6,371.721,0.53612,0.81419,0.98104,0.77494,0.80435,0.87621,0.8374,0.32241,0.66275,0.83333,0.0010025,0.0010025,0.0010025
7,431.043,0.5249,0.78362,0.9797,0.78931,0.80075,0.90634,0.87959,0.27429,0.61159,0.81658,0.000953,0.000953,0.000953
8,488.399,0.50986,0.72792,0.96882,0.69984,0.79158,0.82577,0.79904,0.29166,0.91367,0.82316,0.0009035,0.0009035,0.0009035
9,545.59,0.50665,0.7026,0.97097,0.90189,0.82327,0.94639,0.909,0.30756,0.47921,0.82544,0.000854,0.000854,0.000854
10,609.41,0.49115,0.67142,0.97076,0.82348,0.82607,0.93891,0.91132,0.27808,0.56931,0.81742,0.0008045,0.0008045,0.0008045
11,670.887,0.48979,0.66002,0.96536,0.84422,0.8052,0.92328,0.89392,0.28452,0.57713,0.82012,0.000755,0.000755,0.000755
12,728.227,0.48537,0.62702,0.96341,0.82361,0.86001,0.94315,0.91587,0.26907,0.50223,0.81405,0.0007055,0.0007055,0.0007055
13,787.23,0.48484,0.61577,0.96609,0.85961,0.86605,0.94311,0.91542,0.27936,0.48721,0.8174,0.000656,0.000656,0.000656
14,844.325,0.46754,0.5906,0.95849,0.8376,0.84782,0.94022,0.91884,0.26112,0.52306,0.81398,0.0006065,0.0006065,0.0006065
15,901.677,0.46487,0.56731,0.95608,0.84249,0.89343,0.96052,0.9351,0.26208,0.4636,0.81129,0.000557,0.000557,0.000557
16,960.112,0.29432,0.38043,0.84453,0.84338,0.8916,0.93426,0.9069,0.27351,0.43608,0.81478,0.0005075,0.0005075,0.0005075
17,1014.6,0.28103,0.36293,0.83617,0.83659,0.85458,0.93854,0.91579,0.25847,0.5352,0.8095,0.000458,0.000458,0.000458
18,1068.23,0.27712,0.33585,0.83201,0.87781,0.8534,0.94376,0.92072,0.26197,0.44916,0.80929,0.0004085,0.0004085,0.0004085
19,1122.51,0.27049,0.3004,0.82451,0.84126,0.84487,0.94678,0.92218,0.26418,0.52272,0.81015,0.000359,0.000359,0.000359
20,1177.49,0.26855,0.27337,0.82654,0.87005,0.84501,0.9598,0.93345,0.27097,0.50517,0.81317,0.0003095,0.0003095,0.0003095
21,1232.52,0.26562,0.24975,0.8284,0.88476,0.88908,0.96917,0.94691,0.26187,0.39314,0.80977,0.00026,0.00026,0.00026
22,1291.15,0.25372,0.23707,0.82627,0.81256,0.88853,0.95373,0.93343,0.25523,0.52694,0.80895,0.0002105,0.0002105,0.0002105
23,1345.75,0.25006,0.21486,0.82564,0.9204,0.91143,0.97238,0.95228,0.25235,0.33814,0.80793,0.000161,0.000161,0.000161
24,1405.88,0.24589,0.19834,0.82299,0.94662,0.9315,0.97965,0.95706,0.26102,0.26682,0.80839,0.0001115,0.0001115,0.0001115
25,1468.24,0.23978,0.17393,0.81879,0.93063,0.9325,0.97909,0.95832,0.25619,0.29563,0.80726,6.20E-05,6.20E-05,6.20E-05
